08/30/2016 02:05:39 PM n_total 10 n_fib 10, n_fob 0, n_fsc 0
08/30/2016 02:22:04 PM n_total 120338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:05 PM n_total 120466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:06 PM n_total 120594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:07 PM n_total 120722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:08 PM n_total 120850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:09 PM n_total 120978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:10 PM n_total 121106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:11 PM n_total 121234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:12 PM n_total 121362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:13 PM n_total 121490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:14 PM n_total 121618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:15 PM n_total 121746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:16 PM n_total 121874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:17 PM n_total 122002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:18 PM n_total 122130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:19 PM n_total 122258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:20 PM n_total 122386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:21 PM n_total 122514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:22 PM n_total 122642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:23 PM n_total 122770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:24 PM n_total 122898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:25 PM n_total 123026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:26 PM n_total 123154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:27 PM n_total 123282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:28 PM n_total 123410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:29 PM n_total 123538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:30 PM n_total 123666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:31 PM n_total 123794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:32 PM n_total 123922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:33 PM n_total 124050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:34 PM n_total 124178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:35 PM n_total 124306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:36 PM n_total 124434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:37 PM n_total 124562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:38 PM n_total 124690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:39 PM n_total 124818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:40 PM n_total 124946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:41 PM n_total 125074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:42 PM n_total 125202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:43 PM n_total 125330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:44 PM n_total 125458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:45 PM n_total 125586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:46 PM n_total 125714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:47 PM n_total 125842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:48 PM n_total 125970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:49 PM n_total 126098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:50 PM n_total 126226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:51 PM n_total 126354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:52 PM n_total 126482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:53 PM n_total 126610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:54 PM n_total 126738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:55 PM n_total 126866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:56 PM n_total 126994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:57 PM n_total 127122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:58 PM n_total 127250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:22:59 PM n_total 127378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:00 PM n_total 127506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:01 PM n_total 127634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:02 PM n_total 127762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:03 PM n_total 127890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:04 PM n_total 128018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:05 PM n_total 128146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:06 PM n_total 128274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:07 PM n_total 128402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:08 PM n_total 128530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:09 PM n_total 128658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:10 PM n_total 128786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:11 PM n_total 128914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:12 PM n_total 129042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:13 PM n_total 129170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:14 PM n_total 129298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:15 PM n_total 129426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:16 PM n_total 129554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:17 PM n_total 129682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:18 PM n_total 129810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:19 PM n_total 129938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:20 PM n_total 130066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:21 PM n_total 130194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:22 PM n_total 130322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:23 PM n_total 130450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:24 PM n_total 130578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:25 PM n_total 130706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:26 PM n_total 130834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:27 PM n_total 130962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:28 PM n_total 131090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:29 PM n_total 131218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:30 PM n_total 131346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:31 PM n_total 131474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:32 PM n_total 131602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:33 PM n_total 131730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:34 PM n_total 131858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:35 PM n_total 131986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:36 PM n_total 132114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:37 PM n_total 132242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:38 PM n_total 132370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:39 PM n_total 132498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:40 PM n_total 132626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:41 PM n_total 132754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:42 PM n_total 132882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:43 PM n_total 133010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:44 PM n_total 133138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:45 PM n_total 133266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:46 PM n_total 133394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:47 PM n_total 133522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:48 PM n_total 133650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:49 PM n_total 133778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:50 PM n_total 133906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:51 PM n_total 134034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:52 PM n_total 134162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:53 PM n_total 134290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:54 PM n_total 134418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:55 PM n_total 134546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:56 PM n_total 134674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:57 PM n_total 134802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:58 PM n_total 134930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:23:59 PM n_total 135058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:00 PM n_total 135186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:01 PM n_total 135314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:02 PM n_total 135442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:03 PM n_total 135570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:04 PM n_total 135698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:05 PM n_total 135826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:06 PM n_total 135954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:07 PM n_total 136082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:08 PM n_total 136210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:09 PM n_total 136338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:10 PM n_total 136466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:11 PM n_total 136594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:12 PM n_total 136722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:13 PM n_total 136850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:14 PM n_total 136978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:15 PM n_total 137106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:16 PM n_total 137234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:17 PM n_total 137362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:18 PM n_total 137490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:19 PM n_total 137618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:20 PM n_total 137746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:21 PM n_total 137874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:22 PM n_total 138002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:23 PM n_total 138130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:24 PM n_total 138258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:25 PM n_total 138386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:26 PM n_total 138514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:27 PM n_total 138642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:28 PM n_total 138770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:29 PM n_total 138898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:30 PM n_total 139026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:31 PM n_total 139154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:32 PM n_total 139282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:33 PM n_total 139410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:34 PM n_total 139538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:35 PM n_total 139666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:36 PM n_total 139794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:37 PM n_total 139922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:38 PM n_total 140050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:39 PM n_total 140178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:40 PM n_total 140306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:41 PM n_total 140434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:42 PM n_total 140562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:43 PM n_total 140690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:44 PM n_total 140818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:45 PM n_total 140946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:46 PM n_total 141074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:47 PM n_total 141202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:48 PM n_total 141330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:49 PM n_total 141458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:50 PM n_total 141586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:51 PM n_total 141714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:52 PM n_total 141842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:53 PM n_total 141970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:54 PM n_total 142098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:55 PM n_total 142226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:56 PM n_total 142354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:57 PM n_total 142482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:58 PM n_total 142610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:24:59 PM n_total 142738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:00 PM n_total 142866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:01 PM n_total 142994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:02 PM n_total 143122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:03 PM n_total 143250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:04 PM n_total 143378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:05 PM n_total 143506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:06 PM n_total 143634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:07 PM n_total 143762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:08 PM n_total 143890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:09 PM n_total 144018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:10 PM n_total 144146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:11 PM n_total 144274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:12 PM n_total 144402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:13 PM n_total 144530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:14 PM n_total 144658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:15 PM n_total 144786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:16 PM n_total 144914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:17 PM n_total 145042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:18 PM n_total 145170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:19 PM n_total 145298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:20 PM n_total 145426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:21 PM n_total 145554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:22 PM n_total 145682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:23 PM n_total 145810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:24 PM n_total 145938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:25 PM n_total 146066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:26 PM n_total 146194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:27 PM n_total 146322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:28 PM n_total 146450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:29 PM n_total 146578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:30 PM n_total 146706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:31 PM n_total 146834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:32 PM n_total 146962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:33 PM n_total 147090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:34 PM n_total 147218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:35 PM n_total 147346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:36 PM n_total 147474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:37 PM n_total 147602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:38 PM n_total 147730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:39 PM n_total 147858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:40 PM n_total 147986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:41 PM n_total 148114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:42 PM n_total 148242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:43 PM n_total 148370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:44 PM n_total 148498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:45 PM n_total 148626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:46 PM n_total 148754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:47 PM n_total 148882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:48 PM n_total 149010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:49 PM n_total 149138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:50 PM n_total 149266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:51 PM n_total 149394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:52 PM n_total 149522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:53 PM n_total 149650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:54 PM n_total 149778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:55 PM n_total 149906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:56 PM n_total 150034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:57 PM n_total 150162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:58 PM n_total 150290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:25:59 PM n_total 150418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:00 PM n_total 150546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:01 PM n_total 150674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:02 PM n_total 150802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:03 PM n_total 150930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:04 PM n_total 151058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:05 PM n_total 151186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:06 PM n_total 151314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:07 PM n_total 151442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:08 PM n_total 151570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:09 PM n_total 151698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:10 PM n_total 151826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:11 PM n_total 151954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:12 PM n_total 152082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:13 PM n_total 152210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:14 PM n_total 152338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:15 PM n_total 152466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:16 PM n_total 152594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:17 PM n_total 152722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:18 PM n_total 152850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:19 PM n_total 152978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:20 PM n_total 153106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:21 PM n_total 153234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:22 PM n_total 153362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:23 PM n_total 153490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:24 PM n_total 153618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:25 PM n_total 153746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:26 PM n_total 153874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:27 PM n_total 154002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:28 PM n_total 154130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:29 PM n_total 154258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:30 PM n_total 154386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:31 PM n_total 154514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:32 PM n_total 154642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:33 PM n_total 154770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:34 PM n_total 154898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:35 PM n_total 155026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:36 PM n_total 155154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:37 PM n_total 155282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:38 PM n_total 155410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:39 PM n_total 155538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:40 PM n_total 155666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:41 PM n_total 155794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:42 PM n_total 155922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:43 PM n_total 156050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:44 PM n_total 156178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:45 PM n_total 156306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:46 PM n_total 156434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:47 PM n_total 156562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:48 PM n_total 156690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:49 PM n_total 156818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:50 PM n_total 156946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:51 PM n_total 157074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:52 PM n_total 157202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:53 PM n_total 157330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:26:54 PM n_total 157458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:28:49 PM the first byte in fee_science.log should always be 0x01
08/30/2016 02:28:49 PM the next four bytes in fee_science.log represent the counter and should increment at a rate determined by SCIENCE CADENCE defined in icu_simulator.ino
08/30/2016 02:28:49 PM the next three bytes represent the number of fib, fob and fsc which are contained in the pc packet
08/30/2016 02:28:49 PM FIB SCI consists of 10 packets, and the third, sixth and ninth byte should increment by 1, other bytes should be constant,the last byte should be 0x00
08/30/2016 02:28:49 PM FOB_SCI consists of 10 packets, and all bytes should be set to zero
08/30/2016 02:28:49 PM FSC_SCI consists of 11 packets, and all bytes should increment by one
08/30/2016 02:29:46 PM the first byte in fee_science.log should always be 0x01
08/30/2016 02:29:46 PM the next four bytes in fee_science.log represent the counter and should increment at a rate determined by SCIENCE CADENCE defined in icu_simulator.ino
08/30/2016 02:29:46 PM the next three bytes represent the number of fib, fob and fsc which are contained in the pc packet
08/30/2016 02:29:46 PM FIB SCI consists of 10 packets, and the third, sixth and ninth byte should increment by 1, other bytes should be constant,the last byte should be 0x00
08/30/2016 02:29:46 PM FOB_SCI consists of 10 packets, and all bytes should be set to zero
08/30/2016 02:29:46 PM FSC_SCI consists of 11 packets, and all bytes should increment by one
08/30/2016 02:29:48 PM the first byte in fee_science.log should always be 0x01
08/30/2016 02:29:48 PM the next four bytes in fee_science.log represent the counter and should increment at a rate determined by SCIENCE CADENCE defined in icu_simulator.ino
08/30/2016 02:29:48 PM the next three bytes represent the number of fib, fob and fsc which are contained in the pc packet
08/30/2016 02:29:48 PM FIB SCI consists of 10 packets, and the third, sixth and ninth byte should increment by 1, other bytes should be constant,the last byte should be 0x00
08/30/2016 02:29:48 PM FOB_SCI consists of 10 packets, and all bytes should be set to zero
08/30/2016 02:29:48 PM FSC_SCI consists of 11 packets, and all bytes should increment by one
08/30/2016 02:30:07 PM n_total 21 n_fib 0, n_fob 0, n_fsc 21
08/30/2016 02:30:08 PM n_total 149 n_fib 0, n_fob 0, n_fsc 128
08/30/2016 02:30:09 PM n_total 277 n_fib 0, n_fob 0, n_fsc 128
08/30/2016 02:30:10 PM n_total 405 n_fib 0, n_fob 0, n_fsc 128
08/30/2016 02:30:11 PM n_total 533 n_fib 0, n_fob 0, n_fsc 128
